City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
261,maragheh,90,IR,1524362400,93,37.39,46.24,42.8,2.24
262,nalut,36,LY,1524365992,70,31.86,10.98,53.31,4.54
263,coahuayana,0,MX,1524365500,60,18.62,-100.35,72.48,2.42
264,aksarka,64,RU,1524365683,93,66.56,67.8,11.91,6.44
265,moree,0,AU,1524365993,53,-29.46,149.84,76.26,4.43
266,lata,0,IN,1524365773,70,30.78,78.62,53.22,1.97
267,ajaccio,0,FR,1524364200,87,41.93,8.74,57.2,5.82
268,whitehorse,40,CA,1524362400,35,60.72,-135.06,41.0,12.75
269,herat,40,AF,1524365700,58,34.35,62.22,59.0,3.36
270,cutervo,68,PE,1524365994,98,-6.38,-78.82,52.14,1.97
271,fort nelson,75,CA,1524362400,64,58.81,-122.69,39.2,8.05
272,hasaki,0,JP,1524362400,41,35.73,140.83,78.8,6.93
273,umm kaddadah,0,SD,1524365673,15,13.6,26.69,61.32,6.22
274,warrnambool,8,AU,1524365995,94,-38.38,142.48,62.76,2.86
275,east london,0,ZA,1524365548,100,-33.02,27.91,71.4,7.0
276,sioux lookout,20,CA,1524362400,55,50.1,-91.92,51.8,5.32
277,luanda,88,AO,1524365996,100,-8.83,13.24,77.79,3.42
278,sitka,88,US,1524365076,96,37.17,-99.65,47.91,6.78
279,half moon bay,1,US,1524364800,81,37.46,-122.43,78.8,9.17
280,leshukonskoye,0,RU,1524365996,75,64.9,45.76,16.86,3.98
281,walvis bay,0,NA,1524362400,93,-22.95,14.51,55.4,7.23
282,yumen,88,CN,1524365655,45,40.29,97.04,56.1,6.78
283,haines junction,0,CA,1524365997,72,60.75,-137.51,28.11,4.21
284,bestobe,76,KZ,1524365707,78,52.5,73.1,55.29,14.38
285,samarai,88,PG,1524365997,100,-10.62,150.67,81.21,11.25
286,kremenchuk,0,UA,1524365998,63,49.08,33.43,49.89,12.26
287,marsh harbour,92,BS,1524365998,100,26.54,-77.06,74.28,18.97
288,melekhovo,80,RU,1524365998,85,54.43,41.37,38.64,26.8
289,guane,0,CU,1524365694,89,22.2,-84.09,72.57,2.75
290,brookhaven,1,US,1524365760,80,40.78,-72.92,53.6,8.9
291,maniitsoq,0,GL,1524365653,63,65.42,-52.9,21.0,6.89
292,lucea,75,JM,1524362400,78,18.44,-78.17,80.6,3.36
293,kem,24,UG,1524365999,95,2.68,33.77,63.48,2.75
294,kalanguy,0,RU,1524365999,48,51.01,116.52,53.94,9.69
295,takoradi,88,GH,1524366000,98,4.89,-1.75,78.87,3.98
296,stephenville,90,US,1524363300,82,32.22,-98.2,60.8,20.8
297,povenets,12,RU,1524366000,75,62.85,34.83,20.82,7.0
298,dwarka,0,IN,1524362400,40,28.58,77.04,73.4,6.93
299,alirajpur,0,IN,1524366001,47,22.3,74.35,82.65,2.98
300,ranong,0,TH,1524362400,70,9.96,98.62,86.0,2.24
301,kodiak,90,US,1524361980,35,39.95,-94.76,57.2,13.87
302,kruisfontein,0,ZA,1524365685,91,-34.0,24.73,57.81,9.69
303,kongolo,92,CD,1524366004,91,-5.39,27.0,72.93,1.63
304,kaeo,56,NZ,1524365715,63,-35.1,173.78,67.26,12.59
305,san quintin,20,PH,1524362400,62,17.54,120.52,89.6,4.7
306,duekoue,88,CI,1524366020,98,6.74,-7.35,73.47,2.98
307,liverpool,0,GB,1524363600,82,53.41,-2.98,60.8,11.41
308,upata,76,VE,1524366007,64,8.02,-62.41,79.59,9.8
309,waiouru,0,NZ,1524365667,73,-39.48,175.67,49.71,7.0
310,krasni okny,0,UA,1524366008,70,47.54,29.46,57.45,9.57
311,pombas,8,BR,1524366023,88,-15.9,-54.74,69.51,1.63
312,qasigiannguit,92,GL,1524365400,85,68.82,-51.19,24.8,3.36
313,tuatapere,36,NZ,1524365633,100,-46.13,167.69,52.41,15.5
314,port lincoln,0,AU,1524365705,73,-34.72,135.86,73.47,7.45
315,san antonio,90,CL,1524362400,100,-33.58,-71.61,53.6,5.82
316,wageningen,0,NL,1524365400,67,51.98,5.66,59.0,4.7
317,hauterive,0,FR,1524364200,58,46.09,3.45,57.2,3.36
318,puerto penasco,8,MX,1524365772,78,31.32,-113.53,70.68,11.25
319,taoudenni,0,ML,1524365728,27,22.68,-3.98,68.61,5.21
320,kang,0,BW,1524366011,61,-23.67,22.79,54.3,2.86
321,villaviciosa,48,ES,1524364200,82,43.48,-5.43,57.2,1.12
322,palana,24,RU,1524366012,66,59.08,159.95,36.93,6.22
323,mackay,75,CA,1524364320,75,53.65,-115.58,46.4,16.11
324,karratha,8,AU,1524366012,26,-20.74,116.85,94.71,5.77
325,fez,75,MA,1524364200,100,34.03,-5.02,55.4,4.7
326,mapiripan,76,CO,1524366013,100,2.89,-72.13,70.68,2.75
327,alugan,88,PH,1524366013,100,12.22,125.48,81.3,7.56
328,les escoumins,24,CA,1524366013,67,48.35,-69.4,29.73,6.78
329,simao,8,CN,1524365640,47,22.76,100.79,80.76,5.32
330,boa vista,75,BR,1524366000,94,2.82,-60.67,75.2,4.7
331,coihaique,75,CL,1524362400,81,-45.58,-72.07,42.8,5.82
332,the pas,90,CA,1524362400,70,53.82,-101.24,44.6,12.75
333,santiago,0,CL,1524366000,63,-33.44,-70.65,60.8,2.24
334,nelson bay,90,AU,1524364200,68,-32.72,152.14,71.6,11.41
335,ust-nera,68,RU,1524366016,81,64.57,143.24,26.04,2.64
336,wundanyi,32,KE,1524366028,97,-3.4,38.37,66.0,2.53
337,castro verde,40,PT,1524362400,100,37.7,-8.08,57.2,4.7
338,tiznit,44,MA,1524366017,83,29.7,-9.73,55.92,5.55
339,yilan,75,TW,1524362400,69,24.75,121.75,84.2,1.12
340,iquitos,20,PE,1524362400,88,-3.75,-73.25,77.0,2.24
341,mar del plata,44,AR,1524365672,49,-46.43,-67.52,60.06,19.53
342,sao joao da barra,76,BR,1524365638,100,-21.64,-41.05,76.17,14.16
343,port hedland,12,AU,1524364200,18,-20.31,118.58,98.6,8.05
344,cacu,0,BR,1524366034,74,-18.56,-51.13,65.01,2.75
345,khorinsk,0,RU,1524366019,43,52.16,109.78,55.38,3.31
346,pisco,0,PE,1524362400,77,-13.71,-76.2,69.8,9.17
347,ahipara,56,NZ,1524365689,81,-35.17,173.16,66.0,13.15
348,biltine,0,TD,1524365718,36,14.53,20.93,64.92,7.23
349,aligudarz,68,IR,1524366021,79,33.4,49.69,38.28,3.2
350,faro,75,PT,1524364200,93,37.02,-7.94,60.8,5.82
351,nuuk,36,GL,1524365400,100,64.17,-51.74,32.0,14.99
352,veraval,0,FR,1524364200,87,49.65,0.71,60.8,10.29
353,mayya,0,RU,1524364200,27,61.74,130.28,41.0,6.71
354,camden,1,US,1524365640,52,39.94,-75.12,53.6,4.99
355,san alberto,0,PY,1524366000,94,-24.98,-54.91,71.6,4.7
356,mariestad,0,SE,1524363600,88,58.71,13.82,32.0,2.24
357,vila velha,75,BR,1524362400,83,-3.71,-38.6,82.4,8.05
358,kathu,0,ZA,1524366024,71,-27.7,23.05,49.08,2.86
359,mastic,1,US,1524365760,80,40.8,-72.84,53.6,8.79
360,douentza,0,ML,1524366024,57,15.01,-2.95,68.16,3.53
361,caucaia,75,BR,1524366000,83,-3.73,-38.66,82.4,8.05
362,camacha,75,PT,1524364200,82,33.08,-16.33,60.8,23.04
363,broome,56,GB,1524363600,87,52.47,1.45,55.4,4.7
364,windhoek,0,NA,1524362400,43,-22.57,17.08,55.4,5.82
365,praya,40,ID,1524364200,62,-8.71,116.27,89.6,8.05
366,killybegs,92,IE,1524366041,99,54.63,-8.45,47.1,12.03
367,albertville,0,FR,1524364200,76,45.68,6.39,53.6,6.93
368,chernyshevskiy,92,RU,1524366027,88,63.01,112.47,38.82,9.91
369,kenai,75,US,1524361980,39,60.55,-151.26,50.0,13.87
370,naze,36,NG,1524365730,96,5.43,7.07,72.66,2.98
371,ballina,76,IE,1524365721,99,54.11,-9.15,46.02,8.9
372,dingle,12,PH,1524365746,61,11.0,122.67,88.68,9.91
373,koson,0,UZ,1524362400,25,39.04,65.59,66.2,9.17
374,ugoofaaru,76,MV,1524365738,99,5.67,73.0,85.44,5.77
375,acapulco,5,MX,1524361320,83,16.86,-99.88,82.4,5.82
376,senanga,0,ZM,1524366029,67,-16.1,23.3,62.49,5.44
377,grand gaube,75,MU,1524362400,83,-20.01,57.66,77.0,11.41
